# NFAP Frequency Allocation Data
# Source: Indian Frequency Allocation Chart
# Country: India
# Last Updated: 2025-01-01
""
Band Name,Band Start Freq (Hz),Band End Freq (Hz),Allocation Start Freq (Hz),Allocation End Freq (Hz),Frequency Range (Readable),Service,Priority,Usage,Amateur Band,Level,Region Specific
LF - Low Frequency (8-70 kHz),8300,70000,8300,70000,8.300 kHz - 70.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation,
LF - Low Frequency (8-70 kHz),8300,70000,8300,70000,8.300 kHz - 70.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation,
LF - Low Frequency (8-70 kHz),8300,70000,8300,70000,8.300 kHz - 70.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation,
LF - Low Frequency (8-70 kHz),8300,70000,8300,70000,8.300 kHz - 70.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,MARITIME MOBILE,primary,Marine communication,,Maritime Radio-,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,MARITIME MOBILE,primary,Marine communication,,Maritime Radio-,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,RADIOLOCATION,primary,Radar and location services,,Navigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,FIXED,primary,Point-to-point communication,,Navigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,FIXED,primary,Point-to-point communication,,Navigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,FIXED,primary,Point-to-point communication,,Navigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,MARITIME MOBILE,primary,Marine communication,,Navigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,MARITIME MOBILE,primary,Marine communication,,Navigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,MARITIME MOBILE,primary,Marine communication,,Navigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (70-110 kHz),70000,110000,70000,110000,70.000 kHz - 110.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,RADIOLOCATION,primary,Radar and location services,,Navigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,MARITIME MOBILE,primary,Marine communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
LF - Low Frequency (110-130 kHz),110000,130000,110000,130000,110.000 kHz - 130.000 kHz,FIXED,primary,Point-to-point communication,,Radionavigation   5.60,
